1. open,2. high,3. low,4. close,5. volume
203.3500,204.4600,202.9000,204.2000,7605055
203.2800,204.4400,202.6901,204.4100,11362045
201.4100,203.1323,201.3600,202.7300,16935217
203.1700,204.4900,200.6500,201.5500,27316739
198.6800,199.4950,197.0500,197.9200,31110642
200.2900,201.5700,199.5700,199.7400,20899717
197.7700,200.9900,197.3500,199.8000,26067512
198.4300,199.2600,195.2900,195.5700,21070334
198.5400,200.1600,198.1700,198.5800,18220421
198.8000,200.8500,198.1500,198.7800,47800589
200.3700,200.6100,198.0300,199.4600,21513988
199.6800,199.8800,197.3100,197.8700,21124235
196.0500,200.2900,195.2100,198.4500,26551004
192.9000,194.9600,192.1700,193.8900,14669144
191.5450,193.5863,190.3000,192.7400,18761474
194.7000,196.7900,193.6000,194.1500,21674625
193.9500,195.9700,193.3850,194.1900,18253189
194.8600,196.0000,193.6000,194.8100,26932882
191.8100,195.3700,191.6200,192.5800,26220851
186.5100,191.9200,185.7700,190.1500,30684393
183.0800,185.4700,182.1489,185.2200,22526311
184.2800,184.9900,181.1400,182.5400,29773427
175.4400,179.8300,174.5200,179.6400,30967961
175.6000,177.9200,170.2700,173.3000,40396069
176.2300,177.9900,174.9900,175.0700,27043584
177.9500,179.2300,176.6700,178.3000,21218412
176.4200,179.3500,176.0000,177.3800,28481165
178.9200,180.5900,177.9100,178.2300,27948160
180.2000,182.1400,178.6200,178.9700,23714686
179.8000,180.5400,177.8100,179.6600,36529736
184.6600,185.7100,182.5500,182.7800,29748556
185.2200,188.0000,184.7000,186.6000,28364848
183.5200,184.3490,180.2839,183.0900,38612290
186.9300,190.9000,186.7600,189.0000,32879090
189.9100,192.4689,188.8400,190.0800,33031364
186.2700,191.7500,186.0200,190.9200,26544718
186.4100,189.7000,185.4100,188.6600,36529677
187.7100,189.4800,182.8500,185.7200,57430623
197.4190,198.8500,192.7700,197.1800,41208712
200.4000,201.6800,196.6600,200.7200,34908607
201.9000,205.3400,201.7500,202.9000,26339504
205.8800,207.4175,200.8250,202.8600,38763698
204.2900,208.8400,203.5000,208.4800,32443113
210.8900,211.8400,210.2300,211.7500,20892378
209.8400,212.6500,208.1300,209.1500,31996324
209.8800,215.3100,209.2300,210.5200,64827328
203.0600,203.4000,199.1100,200.6700,46534923
204.4000,205.9700,203.8600,204.6100,22204716
204.9000,205.0000,202.1200,204.3000,18649102
206.8300,207.7600,205.1200,205.2800,18543206
207.3600,208.4800,207.0500,207.1600,17540609
204.4300,207.7500,203.9000,207.4800,23322991
202.8300,204.9400,202.3400,204.5300,19439545
203.1200,204.1500,202.5200,203.8600,24195766
199.5400,203.3800,198.6100,203.1300,28906780
199.4600,201.3700,198.5600,199.2500,25696385
198.5800,199.8500,198.0100,199.2300,17536646
199.2000,200.1400,196.2100,198.8700,27760668
200.8500,201.0000,198.4431,198.9500,20900808
198.6800,200.7400,198.1800,200.6200,21695288
200.3200,202.8500,199.2300,199.5000,35768237
196.4200,200.2300,196.3400,200.1000,25881697
196.4500,197.1000,195.9300,197.0000,18526644
194.7900,196.3700,193.1400,195.6900,19114275
193.2500,196.5000,193.1500,195.3500,23271830
191.0900,194.4600,191.0500,194.0200,22765732
191.6400,191.6800,188.3800,191.2400,27861964
189.8300,190.0800,188.5400,189.9500,23563961
188.9500,189.5590,187.5300,188.7200,20780363
188.7500,189.7600,186.5500,188.4700,29848427
191.6640,192.8800,184.5800,186.7900,49800538
191.5100,191.9800,186.6000,188.7400,43845293
195.3400,197.6900,190.7800,191.0500,42407666
190.0200,196.3300,189.8100,195.0900,51034237
186.2300,189.4900,184.7300,188.1600,31035231
188.3500,188.9900,185.9200,186.5300,31646369
185.8000,188.3900,185.7900,188.0200,26219832
184.8500,187.3300,183.7400,186.1200,39042912
183.9000,184.1000,182.5600,183.7300,23579508
182.2500,183.3000,180.9200,181.7100,31032524
180.0000,182.6700,179.3700,180.9100,32467584
175.4900,179.1200,175.3500,178.9000,32011034
170.3200,173.0700,169.5000,172.9100,23999358
