1. open,2. high,3. low,4. close,5. volume
1928.6000,1935.1199,1925.3000,1934.9283,1147837
1935.8900,1941.5900,1930.5000,1939.0000,1690294
1919.3800,1934.7900,1906.6300,1934.3100,2651299
1922.9800,1929.8200,1914.6600,1922.1900,3203347
1909.1000,1912.9400,1884.0000,1893.6300,3037358
1902.0000,1911.2400,1898.0400,1904.2800,2141721
1892.4800,1903.8000,1887.3200,1897.8300,2441910
1911.8400,1916.3800,1872.4200,1878.2700,3012347
1912.6600,1916.8600,1901.3000,1913.9000,2282969
1916.1000,1925.9500,1907.5800,1911.3000,3933576
1933.3300,1935.2000,1905.8000,1918.1900,3217153
1907.8400,1919.5800,1892.4700,1908.7900,2895347
1901.3500,1921.6700,1899.7900,1901.3700,3895728
1876.5000,1895.6900,1875.4500,1886.0300,2634342
1864.0000,1876.0000,1859.0000,1869.6700,2851163
1866.7200,1883.0900,1862.2200,1870.3000,2795810
1853.9800,1865.0000,1844.3800,1855.3200,2678335
1883.2500,1893.7000,1858.0000,1863.7000,4042694
1822.0000,1884.8700,1818.0000,1860.6300,5371007
1763.7000,1806.2500,1759.4900,1804.0300,4808246
1737.7100,1760.0000,1726.1300,1754.3600,3689272
1749.6000,1752.0000,1715.2500,1738.5000,4239782
1699.2400,1730.8200,1680.8900,1729.5600,5679121
1760.0100,1766.2900,1672.0000,1692.6900,9098708
1790.0100,1795.5900,1772.7000,1775.0700,4618819
1825.4900,1829.4700,1807.8300,1816.3200,3146850
1823.1200,1830.0000,1807.5300,1819.1900,4279025
1832.7500,1849.2700,1827.3500,1836.4300,3199965
1835.8900,1841.7600,1817.8500,1823.2800,3369673
1836.5900,1844.0000,1804.2000,1815.4800,4424265
1851.7800,1871.4800,1851.0000,1859.6800,2936601
1874.7900,1879.0000,1846.0000,1857.5200,4005122
1852.6900,1867.7800,1835.5400,1858.9700,3798198
1893.0500,1910.5300,1867.3300,1869.0000,4736618
1885.9400,1917.5100,1882.2900,1907.5700,4707822
1827.9500,1874.4300,1823.0000,1871.1500,4692642
1839.5000,1852.4400,1815.7500,1840.1200,4629107
1836.5600,1846.5400,1818.0000,1822.6800,5783410
1898.0000,1903.7900,1856.0000,1889.9800,5717994
1900.0000,1909.4000,1876.0000,1899.8700,5308263
1918.8700,1935.3700,1910.0000,1917.7700,4078568
1939.9900,1949.1000,1903.3800,1921.0000,5902134
1917.9800,1959.0000,1910.5000,1950.5500,5417841
1949.0000,1964.4000,1936.0000,1962.4600,6381564
1913.3300,1921.5500,1881.8700,1900.8200,3962915
1933.0900,1943.6400,1910.5500,1911.5200,3116964
1930.1000,1935.7100,1906.9500,1926.5200,3506007
1949.0000,1956.3400,1934.0900,1938.4300,4021255
1929.0000,1951.0000,1898.0000,1950.6300,8432563
1917.0000,1922.4500,1900.3100,1902.2500,6099101
1925.0000,1929.6900,1898.1600,1901.7500,3675781
1891.2000,1929.2600,1889.5800,1923.7700,4640441
1855.4000,1888.4200,1845.6400,1887.3100,3373807
1868.7900,1870.8200,1859.4800,1861.6900,2749882
1872.9900,1876.4700,1860.4400,1864.8200,2893517
1851.3500,1869.7700,1848.0000,1863.0400,3044618
1842.0000,1846.8500,1818.9000,1844.8700,3724423
1848.4000,1851.5000,1841.3000,1843.0600,3114413
1848.7000,1849.9500,1840.3100,1844.0700,2654842
1841.0000,1848.0000,1828.8100,1847.3300,2963973
1845.4900,1853.0900,1831.7800,1835.8400,3714368
1833.2300,1850.2000,1825.1100,1849.8600,3752841
1829.0000,1838.5800,1825.1900,1837.2800,3640476
1820.6500,1828.7500,1804.2000,1818.8600,3623867
1826.7200,1830.0000,1809.6200,1820.7000,3980590
1811.0200,1820.0000,1805.1200,1813.9800,3448115
1800.1100,1815.6700,1798.7300,1814.1900,4238752
1786.5800,1792.8600,1776.6300,1780.7500,3320793
1770.0000,1777.9300,1753.4700,1773.4200,3042958
1784.1300,1787.5000,1745.6800,1765.7000,4324801
1793.0000,1805.7700,1773.3600,1783.7600,4865880
1757.7900,1782.6800,1747.5000,1774.2600,5103803
1810.1700,1818.9800,1763.1100,1764.7700,6362983
1796.2600,1823.7500,1787.2800,1819.2600,5767797
1769.9400,1799.5000,1767.0300,1797.2700,6265633
1753.5100,1784.1600,1753.5100,1761.8500,6364161
1712.7000,1750.0000,1712.6300,1742.1500,5429058
1703.0000,1718.8000,1693.1300,1712.3600,7550870
1691.2000,1702.0000,1684.3400,1686.2200,2946618
1683.0000,1700.0000,1679.3500,1690.8100,3552041
1669.0000,1684.2700,1660.9800,1673.1000,3614498
1626.1200,1672.2900,1626.0100,1670.6200,3876352
1604.0100,1622.7200,1586.5700,1620.8000,4667014
1667.3700,1669.7500,1620.5100,1625.9500,4957017
1695.9700,1697.7500,1668.2800,1668.9500,3996001
1702.9500,1707.8000,1689.0100,1692.4300,3681522
1685.0000,1709.4300,1674.3600,1696.1700,6167358
1655.1300,1674.2600,1651.0000,1671.7300,4974877
1635.2500,1651.7700,1633.8300,1639.8300,3025891
1628.1800,1641.8100,1615.1000,1641.0900,3148824
1625.9800,1639.9900,1616.1300,1636.4000,2665815
1641.4500,1654.6000,1630.3900,1633.0000,3184462
1623.5000,1634.9400,1621.1700,1631.5600,3096191
1619.8500,1623.5600,1600.9100,1619.4400,3483392
1630.0000,1634.9300,1610.1200,1622.1000,3337589
1601.0000,1634.0000,1600.5600,1627.5800,3681656
1627.8600,1628.9100,1604.5000,1607.9500,4343893
1624.5000,1637.9000,1606.0600,1622.6500,4120524
1647.0000,1656.3800,1637.1100,1640.0000,3560321
1604.0000,1639.3900,1598.8800,1638.0100,4858604
1600.9800,1609.2900,1586.0000,1591.0000,3317328
1586.0000,1588.5900,1566.7600,1588.2200,5657457
1625.0000,1625.5400,1592.9100,1614.3700,4626589
1670.7500,1672.2600,1633.3400,1640.2600,3939883
1643.3400,1665.2600,1642.5000,1658.8100,4453105
1623.0000,1649.6300,1613.5000,1633.3100,4929187
1638.8800,1673.0600,1622.0100,1626.2300,11506213
1692.8500,1736.4100,1679.0800,1718.7300,10910338
1623.0000,1676.9500,1619.6800,1670.4300,5783822
1631.2700,1632.3800,1590.7200,1593.8800,4632782
1643.5900,1645.0000,1614.0900,1637.8900,4837711
1670.5000,1683.4800,1661.6100,1670.5700,4959679
1641.0700,1657.2600,1631.7800,1654.9300,4089943
1656.0000,1657.4300,1612.0000,1640.0200,5225212
1681.0000,1681.8700,1610.2000,1632.1700,6416796
1712.0000,1716.2000,1691.5400,1696.2000,6020503
1680.0000,1700.1700,1677.5000,1693.2200,4208875
1684.2200,1705.0000,1675.8800,1683.7800,6366864
1632.0000,1675.1600,1626.0100,1674.5600,5998510
1615.0000,1648.2000,1595.1500,1617.2100,6005888
1640.5500,1660.2900,1636.2200,1640.5600,4686222
1641.0100,1663.2500,1621.6200,1656.2200,6507693
1652.9800,1667.8000,1641.4000,1659.4200,6348801
1664.6900,1676.6100,1616.6100,1656.5800,8881428
1602.3100,1634.5600,1589.1800,1629.5100,7993213
1530.0000,1594.0000,1518.3100,1575.3900,9182575
1520.0100,1538.0000,1497.1100,1500.2800,6975572
1465.2000,1553.3600,1460.9300,1539.1300,7983103
1510.8000,1520.7600,1487.0000,1501.9700,6954507
1473.3500,1513.4700,1449.0000,1478.0200,8828950
1454.2000,1469.0000,1390.3100,1461.6400,9722034
1368.8900,1473.1600,1363.0100,1470.9000,10411801
1346.0000,1396.0300,1307.0000,1343.9600,7219996
1464.9900,1480.0000,1363.9600,1377.4500,13640320
1484.0000,1509.5000,1432.6900,1460.8300,9991833
1543.0500,1584.5300,1483.1800,1495.0800,8792189
1540.0000,1567.5500,1523.0100,1551.4800,6522975
1566.0000,1576.1300,1505.0100,1520.9100,8829762
1638.0000,1642.5700,1585.0000,1591.9100,6367163
1680.0000,1692.1200,1641.5000,1658.3800,5271162
1669.0000,1704.9900,1660.2700,1663.5400,6597968
1678.0000,1679.4700,1619.6000,1643.2400,6244695
1623.8400,1657.9900,1590.8700,1641.0300,7494808
1705.0700,1718.9300,1625.4600,1629.1300,7576132
1614.8700,1701.0500,1609.8500,1699.1900,8789394
1756.0000,1770.3400,1665.0000,1668.4000,8694455
1769.4600,1778.3400,1730.0000,1772.3600,6862160
1679.5000,1696.0000,1666.5000,1690.1700,5761761
