1. open,2. high,3. low,4. close,5. volume
135.9400,136.9000,135.7325,136.0900,7758966
136.8000,137.7400,136.2950,137.4600,13629296
136.1200,136.5900,135.3400,136.5800,15237843
136.6300,136.7000,134.9700,135.6800,22654160
134.5700,134.6000,133.1558,133.9600,30042969
134.1400,134.7100,133.5100,134.1500,16557482
134.3500,135.7400,133.6000,133.9300,23657745
137.2500,137.5900,132.7300,133.4300,33327420
137.0000,138.4000,137.0000,137.7800,20628841
136.5800,137.7300,136.4600,136.9700,36727892
137.4500,137.6600,135.7200,136.9500,33042592
135.0000,135.9300,133.8100,135.6900,23744441
134.1900,135.2400,133.5700,135.1600,25934458
132.6300,133.7300,132.5300,132.8500,14517785
132.2600,133.7900,131.6400,132.4500,17821703
131.9800,132.6700,131.5600,132.3200,17200848
131.4000,131.9700,130.7100,131.4900,17092464
133.8800,134.2400,131.2757,132.1000,23913731
132.4000,134.0800,132.0000,132.6000,26477098
129.1900,132.2500,128.2600,131.4000,33885588
126.4400,127.9700,125.6000,127.8200,21458961
124.9500,125.8700,124.2100,125.8300,24926140
121.2800,123.2800,120.6522,123.1600,29382642
123.8500,124.3700,119.0100,119.8400,37983637
124.2300,124.6150,123.3200,123.6800,26646769
125.2600,125.7600,124.7800,125.7300,16829613
125.3800,125.3900,124.0400,124.9400,22763140
126.9800,128.0000,126.0500,126.1600,23128359
126.9100,127.4150,125.9700,126.2400,14123358
126.2000,126.2900,124.7400,126.1800,23603810
126.6200,128.2400,126.5200,127.6700,15396485
127.4300,127.5273,126.5800,126.9000,15293260
126.5200,127.5894,125.7607,126.2200,23706934
128.3050,130.4600,127.9200,128.0700,25770539
126.7500,129.3800,126.4600,128.9300,30112216
124.2600,126.7100,123.7000,126.0200,24722708
123.8700,125.8800,123.7000,124.7300,25266315
124.1100,125.5500,123.0400,123.3500,33944923
124.9100,127.9300,123.8200,127.1300,30915084
124.2900,125.7900,123.5700,125.5000,27235835
125.4400,126.3700,124.7500,125.5100,28418996
126.4600,127.1800,124.2200,125.5200,36017661
126.3900,128.5600,126.1100,128.1500,24239464
127.3600,129.4300,127.2500,128.9000,24911126
127.9800,128.0000,125.5200,126.2100,27350161
130.5300,130.6500,127.7000,127.8800,26821692
129.8100,130.7000,129.3947,130.6000,24166503
129.9000,130.1800,129.3500,129.7700,16324183
129.7000,130.5152,129.0200,129.8900,23654933
130.0600,131.3700,128.8300,129.1500,38033892
125.7900,125.8500,124.5200,125.0100,31256980
124.1000,125.5800,123.8300,125.4400,24025521
122.6200,124.0000,122.5700,123.7600,15648724
122.1900,123.5200,121.3018,123.3700,27990998
121.2400,121.8500,120.5400,121.7700,19300938
121.6400,121.6500,120.1000,120.7700,14071787
120.9400,121.5800,120.5700,121.0500,15792572
120.6400,120.9800,120.3700,120.9500,19745143
120.5400,120.8500,119.9200,120.3300,14209121
119.7600,120.3500,119.5400,120.1900,16477169
118.6300,119.5400,118.5800,119.2800,17611981
119.8100,120.0200,118.6400,119.9300,15116186
119.3900,120.2300,119.3700,119.8900,15826245
120.1000,120.2300,118.3800,119.3600,20112848
119.8600,120.4300,119.1500,119.9700,22860744
